end,start,days,portfolio_return,factor_return,specific_return,fixed_weight_return,buy_and_hold_return,benchmark_return,ex_ante_factor_variance,ex_ante_specific_variance,ex_ante_total_variance,contrib_equity,contrib_rates_level,contrib_rates_slope,contrib_credit,contrib_commodity,contrib_dollar,impact,fees,shortfall,predicted,realised,residual
2011-01-31,2010-12-30,20,-0.02017485972,0.009125799666,-0.02930065938,-0.02025806129,-0.0201216609,-0.007602959106,0.0003744507526,0.000132987485,0.0005074382376,0.003724812584,-0.004505034609,0.001631730353,0.001738422739,0.003022590572,0.003513278026,0.0004291542869,0,0.0004291542869,0.0004291542869,0.0004291542869,5.421010862e-20
2011-02-28,2011-01-31,19,0.03149711798,0.0161850186,0.01531209938,0.03149738204,0.03190382351,0.0230474011,0.0004098513909,9.758685929e-05,0.0005074382502,0.00884796527,-0.001535185925,0.0004559691941,0.0005098338925,0.004586637415,0.003319798754,0.0002160218518,0,0.0002160218518,0.0002160218518,0.0002160218518,-2.710505431e-20
2011-03-31,2011-02-28,23,0.001738561853,0.001968148972,-0.0002295871192,0.002072458924,0.001540457555,0.008186722337,0.0004957225247,1.171571181e-05,0.0005074382365,0.002232775369,-0.001384047705,8.947200552e-05,-0.0006745702385,0.0003994010384,0.001305118502,0.0001419885612,0,0.0001419885612,0.0001419885612,0.0001419885612,-2.710505431e-20
2011-04-29,2011-03-31,20,0.03851176171,0.02438532601,0.01412643569,0.03826746497,0.03910606812,0.03131072708,0.0004428327649,6.460544159e-05,0.0005074382065,0.008108388273,0.003394216282,-0.0002061720813,0.002387747228,-0.001296278687,0.011997425,0.0005390507959,0,0.0005390507959,0.0005390507959,0.0005390507959,1.084202172e-19
2011-05-31,2011-04-29,21,-0.005877850938,-0.006146823551,0.0002689726129,-0.005572979049,-0.006100923215,-0.002405101537,0.0004313000182,7.613821657e-05,0.0005074382347,-0.003948103491,0.004575815071,-3.731995088e-05,0.001908414893,-0.004270031161,-0.004375598912,0.0001447788,0,0.0001447788,0.0001447788,0.0001447788,2.710505431e-20
2011-06-30,2011-05-31,22,-0.01673856575,-0.01434855264,-0.002390013115,-0.01631906836,-0.01679043035,-0.0146718397,0.0003605584349,0.0001468797929,0.0005074382279,-0.003735629697,-0.003326138178,0.0002332909128,-5.501177344e-05,-0.008296884333,0.0008318204296,0.0001796585565,0,0.0001796585565,0.0001796585565,0.0001796585565,0
2011-07-29,2011-06-30,20,0.04817681964,0.02315941156,0.02501740807,0.04780921752,0.04910714251,0.02164388172,0.0003225060092,0.0001849322018,0.000507438211,-0.003263640681,0.01426177834,-0.0002284757751,0.00162707182,0.005614558958,0.005148118902,0.0002343737262,0,0.0002343737262,0.0002343737262,0.0002343737262,0
2011-08-31,2011-07-29,23,0.05594080638,0.0008388668979,0.05510193949,0.05721136478,0.0561834439,0.003675558939,0.0003297718133,0.0001776664175,0.0005074382308,-0.01156202681,0.01827671424,-0.00379123532,-0.001137582577,0.005117440789,-0.006064443425,1.155919675e-05,0,1.155919675e-05,1.155919675e-05,1.155919675e-05,-1.355252716e-20
2011-09-30,2011-08-31,21,-0.05216394717,-0.02978629305,-0.02237765412,-0.05244352395,-0.05161937022,-0.03327256591,0.0003335824869,0.0001738557682,0.0005074382551,0.001854658155,0.01505176063,0.003550134604,-0.006595236947,-0.009962218751,-0.03368539074,0.0002230952078,0,0.0002230952078,0.0002230952078,0.0002230952078,-2.710505431e-20
2011-10-31,2011-09-30,20,0.0137401876,0.01001519939,0.003724988208,0.01434753086,0.01366068158,0.03333887611,0.0004067498356,0.0001006883742,0.0005074382098,-0.001018420745,-0.01027315117,0.0005448696804,0.007860239672,-0.0003072211685,0.01320888312,0.0003039288805,0,0.0003039288805,0.0003039288805,0.0003039288805,5.421010862e-20
