# {
#   "_what": "SPEC.md 5.3's eigenfactor-adjusted factor covariance at both published a, one row per forecast date and horizon, upper triangle row-major. Built by `python -m mafrm.factors.bias_report --rebuild`. It is the ONLY expensive quantity in SPEC.md 6's battery -- every other stage is rebuilt on each render. tests/test_validation.py fails if risk_config_digest stops matching config/model.yaml.",
#   "assets": 13,
#   "columns": [
#     "short",
#     "long"
#   ],
#   "factors": 6,
#   "generated_utc": "2026-09-02T16:50:53+00:00",
#   "git_commit": "d09e49e65a593c19e660523ad77facb84e950d46",
#   "holdout_start": "2025-01-01",
#   "panel_digest": "ee0322e0e1a687eb4282a2cc22519e76dfea339df249779d3e2fae69316002c7",
#   "risk_config_digest": "3701b5bf664e023a23f6ca793b83386f14c5517e8bb4c6d75ab58c9ebda09744",
#   "rows": 3875
# }
date,short_a1_00,short_a1_01,short_a1_02,short_a1_03,short_a1_04,short_a1_05,short_a1_11,short_a1_12,short_a1_13,short_a1_14,short_a1_15,short_a1_22,short_a1_23,short_a1_24,short_a1_25,short_a1_33,short_a1_34,short_a1_35,short_a1_44,short_a1_45,short_a1_55,short_a1.4_00,short_a1.4_01,short_a1.4_02,short_a1.4_03,short_a1.4_04,short_a1.4_05,short_a1.4_11,short_a1.4_12,short_a1.4_13,short_a1.4_14,short_a1.4_15,short_a1.4_22,short_a1.4_23,short_a1.4_24,short_a1.4_25,short_a1.4_33,short_a1.4_34,short_a1.4_35,short_a1.4_44,short_a1.4_45,short_a1.4_55,long_a1_00,long_a1_01,long_a1_02,long_a1_03,long_a1_04,long_a1_05,long_a1_11,long_a1_12,long_a1_13,long_a1_14,long_a1_15,long_a1_22,long_a1_23,long_a1_24,long_a1_25,long_a1_33,long_a1_34,long_a1_35,long_a1_44,long_a1_45,long_a1_55,long_a1.4_00,long_a1.4_01,long_a1.4_02,long_a1.4_03,long_a1.4_04,long_a1.4_05,long_a1.4_11,long_a1.4_12,long_a1.4_13,long_a1.4_14,long_a1.4_15,long_a1.4_22,long_a1.4_23,long_a1.4_24,long_a1.4_25,long_a1.4_33,long_a1.4_34,long_a1.4_35,long_a1.4_44,long_a1.4_45,long_a1.4_55
2019-12-09,6681.70844282,144.729686403,3.18852024165,-165.409634329,1574.74040287,-549.088102807,19.3005906411,0.77234048735,-9.79459261222,86.9816690104,0.0165428404658,8.54820972952,0.337344638048,-9.97280320236,-8.53177498808,339.334463599,113.636480763,-82.4665534885,5385.96001837,208.348388399,523.69533425,6675.3351922,143.671867158,3.03393319861,-164.970300138,1562.65298343,-546.764373011,19.2926426655,0.769983152152,-9.72097647993,86.2549639873,0.0662655205301,8.56297582115,0.331144502423,-9.87415169332,-8.45438790444,339.646741837,114.083264202,-82.0289631065,5387.60755675,208.255547158,523.74566524,7310.36002425,132.908426067,3.38647932196,-210.124353898,1833.91238915,-680.502942057,14.8767869259,0.688512296475,-10.4434890533,85.0238957384,0.0172084480128,8.8133785435,0.416003903975,-11.2744371079,-10.2644426261,500.504405146,153.656782331,-118.66705452,6676.53467568,274.850472766,735.196458943,7303.38714345,131.937007595,3.22229475198,-209.566255735,1819.83561292,-677.623067307,14.8706606709,0.686410821416,-10.3649958171,84.3135473073,0.0689317392284,8.82860268508,0.408358071393,-11.1629097658,-10.1713394581,500.965002728,154.260913197,-118.03737425,6678.57699442,274.727997813,735.267116752
2019-12-10,6597.48997079,143.019861142,3.15953798863,-163.322767547,1547.82442193,-547.875507504,19.1152303279,0.762191631154,-9.68805742126,85.6072883706,-0.0704953624141,8.47015369374,0.340351968447,-9.82726971765,-8.5186959032,337.692650704,112.173411818,-82.5398896656,5279.66829541,206.427484588,527.763417699,6592.78701451,142.014418291,3.02064530541,-162.843031213,1536.5422119,-545.429457327,19.110611571,0.759691896238,-9.61579157815,84.9273691801,-0.0293550090309,8.483277811,0.335915393636,-9.72237867796,-8.44141586439,337.954910015,112.41975505,-82.0730403244,5281.37278882,206.127382089,527.80443572,7283.51369825,132.362878171,3.38066778414,-208.679419874,1823.50290877,-679.778296255,14.8305423335,0.683676633451,-10.3771296272,84.5479640298,-0.0733252586321,8.7838905428,0.421480869994,-11.2210720863,-10.2441336226,499.37314886,152.9485565,-118.527733545,6637.64416394,273.322567704,735.949302173,7278.32171666,131.432354895,3.23205427757,-208.06645512,1810.21125727,-676.743351639,14.8269588732,0.6814344016,-10.299723808,83.8764583163,-0.0305334075268,8.79750078101,0.415986759237,-11.1013043429,-10.1512007309,499.760972692,153.284445737,-117.857335335,6639.78706763,272.92521371,736.0065005
2019-12-11,6535.25098612,141.920386082,3.12558234967,-163.805062641,1538.7746308,-544.592127189,19.0282242057,0.752565912556,-9.66302637518,85.3953322255,-0.0873027975765,8.46475983691,0.282126830164,-9.90846533503,-8.46702914596,343.184218881,113.97101423,-83.3164560543,5275.95656884,205.836123303,526.487367704,6529.73021924,140.882424435,2.97934548541,-163.344748511,1527.03567101,-542.157649616,19.0219642495,0.750129185178,-9.58911732942,84.6859423595,-0.0412900549678,8.47875984263,0.276950764573,-9.80442896691,-8.38858113336,343.477213138,114.309900227,-82.8477397734,5277.62221419,205.628009588,526.527015132,7259.13311847,131.963661951,3.35545051328,-208.556843279,1818.34725231,-678.135711899,14.8113593882,0.676318894863,-10.2990549391,84.4739932844,-0.0910040044542,8.7827786262,0.34716738411,-11.3163300218,-10.1899889924,500.840071303,154.372826275,-118.918844546,6632.57754877,272.675531612,734.946929963,7253.00083957,130.998520693,3.19845878939,-207.970770661,1804.47549693,-675.104257532,14.8064867075,0.674129047117,-10.2202811375,83.772257098,-0.0430405491061,8.79730460844,0.340798046071,-11.1975114322,-10.0955775559,501.267664578,154.831844646,-118.249838672,6634.67148602,272.399838907,735.002275556
2019-12-12,6501.32063518,140.19380094,3.03433278616,-162.906776393,1522.36180279,-543.113271422,18.7292838841,0.753253681337,-9.72186701385,84.2484946829,0.0160413878544,8.40176970122,0.267217475949,-9.68801769184,-8.40693940161,344.337196558,111.994616685,-83.5959150108,5205.37714584,205.294170265,526.19513241,6495.44840446,139.120381437,2.88131607241,-162.426389596,1510.17908357,-540.587502029,18.7223518444,0.750678814411,-9.64433909785,83.516660154,0.0631780384803,8.4162523877,0.262230809484,-9.58165932378,-8.32589696601,344.641429698,112.368333834,-83.1057538728,5207.01720626,205.083247002,526.23098348,7245.0406329,131.211600435,3.27111582405,-207.399642997,1810.31929053,-677.272131522,14.7220665542,0.681990236356,-10.394957371,84.140217916,0.0168003725299,8.76187306823,0.329099470919,-11.1446310604,-10.1415463378,500.820858389,152.147234432,-119.093335921,6605.22417832,273.179098551,734.265573848,7238.49664706,130.206954794,3.10615850758,-206.788053643,1795.83218794,-674.122451133,14.7166176566,0.679658971143,-10.3120618345,83.4093239461,0.0661672538446,8.77697648872,0.322957996491,-11.0222814932,-10.0437823863,501.263349945,152.65493768,-118.395037146,6607.30528915,272.89842898,734.31560131
2019-12-13,6562.71493708,142.560970498,3.09860003319,-161.866740286,1525.25608998,-552.458938982,19.0039391286,0.756018329287,-9.61154719331,84.49365356,-0.250513190548,8.31032388535,0.273932021796,-9.61267266631,-8.44275094274,338.980265384,111.386687165,-83.6537542191,5165.96050351,205.278645927,534.525962383,6556.07851573,141.455297586,2.93930261689,-161.423065107,1512.82239757,-549.934096917,18.9956080965,0.753483950609,-9.53501779533,83.7454763263,-0.196178226561,8.32535434442,0.267898571962,-9.51030913568,-8.36116614882,339.303913799,111.833012671,-83.1769372956,5167.60829812,205.176681386,534.566871922,7262.16625489,132.448045,3.34113313714,-206.522483195,1811.93735314,-682.167484421,14.8235015121,0.68442024544,-10.2959229157,84.2726716512,-0.259707128461,8.73155963453,0.340563526319,-11.1273097576,-10.158289874,498.667659433,152.567056876,-119.097738946,6588.23763193,272.115040972,736.492243006,7254.82252662,131.420805811,3.16936722009,-205.956407053,1797.16667176,-679.049849718,14.8170031191,0.682125882976,-10.2139443574,83.5264511755,-0.203378048777,8.74735196122,0.333062493991,-11.0088171435,-10.0601273211,499.143772689,153.178391772,-118.418895324,6590.33909254,271.979877935,736.548609881
2019-12-16,6504.89161345,139.926701021,3.09164295366,-160.580609491,1517.06443937,-553.781758889,18.6130784654,0.737023520993,-9.52180153121,83.2527653955,-0.043811811441,8.24094945241,0.279701267952,-9.52335344612,-8.47082404017,338.47779823,111.194350893,-84.2028884639,5139.18877535,204.627989136,540.308297214,6498.56897642,138.86989925,2.93819566008,-160.158746429,1505.04233611,-551.328335017,18.605540091,0.734653154633,-9.44779716476,82.5336209905,0.00769288204902,8.25555158908,0.273853720539,-9.42480909487,-8.39153780878,338.796167804,111.622067801,-83.735916848,5140.85066523,204.539775193,540.355526061,7241.4076961,131.224556313,3.35287800668,-205.520287831,1810.54931074,-682.816738684,14.704975639,0.673350753976,-10.2662611088,83.7021436478,-0.0455080582961,8.70665136742,0.348739802736,-11.0723987281,-10.1750524823,498.047136737,152.569497497,-119.363395649,6575.43204869,270.491700044,737.886776235,7234.36917876,130.233477823,3.1864648524,-204.980363252,1796.20146221,-679.791650082,14.6990200626,0.671185167763,-10.1864707302,82.9791174755,0.00799072472102,8.72207868123,0.341448907896,-10.9578253947,-10.0798148098,498.515595986,153.156366822,-118.701431211,6577.55838506,270.375092637,737.951275599
2019-12-17,6573.97804732,140.818772274,3.13141296672,-160.685351159,1533.17013576,-561.029830721,18.5262183733,0.735046666952,-9.44972233567,83.5527769529,-0.215198545033,8.1713821593,0.275245931592,-9.47775775472,-8.47364508439,334.265677283,110.105525851,-83.9004715429,5144.21257971,203.508639509,544.775443248,6567.90901209,139.795922619,2.98381238394,-160.274141822,1521.48972847,-558.608603201,18.5191583156,0.73274549264,-9.37895372849,82.8604887517,-0.164903832406,8.18524141813,0.269785584264,-9.38224883852,-8.3967859442,334.565093515,110.504316209,-83.4470529965,5145.81733772,203.421967251,544.818807385,7263.11826844,131.790450657,3.39253446887,-205.772454185,1821.6344203,-686.745980941,14.6871892601,0.674570521638,-10.2508179731,84.0930848289,-0.223140306978,8.68097493191,0.345637548562,-11.0424523437,-10.1711368836,496.156654769,151.633818826,-119.039380705,6573.03259444,267.89772752,738.827413808,7256.41302538,130.833179018,3.23262580462,-205.245862595,1807.75635715,-683.78220223,14.6815921975,0.672458677008,-10.1740499915,83.3963198314,-0.170989500786,8.69569849717,0.338780767596,-10.931175744,-10.0788808559,496.601083756,152.183020189,-118.396062951,6575.08307866,267.783632604,738.886224486
2019-12-18,6540.24135365,139.86210061,3.22714244898,-159.820349144,1534.85907526,-557.158662404,18.3760661235,0.732523910962,-9.43659650809,83.4132430524,-0.217658039989,8.13623804512,0.310134922669,-9.3216818429,-8.43730934156,338.758057841,112.651387165,-84.291868302,5167.94160342,202.368006359,540.290978786,6534.60366451,138.843225201,3.08062582139,-159.403261216,1523.16645333,-554.691234831,18.3699382743,0.730129294322,-9.36541611044,82.7217796614,-0.169502775886,8.14992211142,0.304757854668,-9.22424730473,-8.35966360306,339.054369031,112.995686759,-83.821596884,5169.62794727,202.235144947,540.337306941,7250.70817622,131.48131849,3.50710879872,-203.865394096,1823.15688522,-685.068174322,14.6485251746,0.675041170976,-10.2071424262,84.0171402561,-0.226937868918,8.66760679722,0.387798889156,-10.8541111252,-10.1695873158,497.193972974,153.963177158,-119.251917322,6577.21468436,266.603375095,736.802135335,7244.45806456,130.52349588,3.34788132056,-203.333360501,1809.26799827,-682.034287897,14.6436403449,0.672834465097,-10.1301497885,83.3206707918,-0.17672950991,8.68218455483,0.381075296147,-10.7406589261,-10.0760000019,497.628867833,154.433739134,-118.586600852,6579.36088616,266.428341,736.865313668
2019-12-19,6479.60493916,139.23133873,3.27362054141,-160.213054465,1526.46504766,-550.456294879,18.3782565122,0.749475787518,-9.37683862769,83.5460469836,-0.181715628266,8.1700588678,0.392941833727,-9.1709703903,-8.37289661233,345.946872133,114.828541878,-84.3169430073,5156.44201266,201.116960321,532.720889621,6474.15922756,138.230934133,3.12822553411,-159.80420831,1515.00480551,-548.038301695,18.3722583496,0.747030441194,-9.3067378924,82.8640415373,-0.135049123803,8.18351370165,0.387388639453,-9.07520645063,-8.29605355666,346.238240329,115.140743359,-83.8478676193,5158.01649444,200.963851964,532.761113578,7228.74918237,131.342152735,3.56333221204,-203.262940489,1819.81304425,-682.32961692,14.6596615215,0.689823661061,-10.0593344689,84.220597459,-0.190465430538,8.67693832826,0.48640935545,-10.6676448536,-10.1265254102,499.13196926,155.680936185,-118.858954975,6569.24301967,266.406831453,733.715778415,7222.67386086,130.398433493,3.40506991303,-202.744235745,1806.15043325,-679.33234288,14.6548770071,0.687572944252,-9.98413143182,83.5330855032,-0.141551883865,8.69122791484,0.479535244791,-10.5562525304,-10.0335882593,499.552355143,156.104209162,-118.197714086,6571.24888989,266.204018562,733.771178817
2019-12-20,6479.94865662,138.763587858,3.65430087436,-157.841351042,1532.36265967,-548.828587418,18.2073813956,0.767793622065,-9.24596527599,83.3985352235,-0.197841788371,8.50947767595,0.360832991242,-9.00912147573,-8.51372792641,335.409642277,112.786929857,-82.9528693062,5173.19081133,200.666249171,529.266977151,6474.7763141,137.811952622,3.50924615173,-157.458911257,1521.3784167,-546.535515255,18.2018121667,0.765286526371,-9.18004491447,82.7478225461,-0.153478596678,8.52306657537,0.355721965354,-8.91832986003,-8.43918793197,335.68450444,113.092765817,-82.5132232453,5174.77402066,200.534014846,529.311627898,7227.3514558,131.288901433,3.92202151827,-202.540412833,1823.9004423,-681.65541706,14.6131845141,0.69902877715,-10.0644035842,84.2059685139,-0.208444806547,8.78833562647,0.445548720204,-10.3185832301,-10.1752712066,495.164768263,154.447767371,-118.533980819,6570.97816378,265.971104591,732.020964566,7221.58253089,130.388527302,3.76633982619,-202.04967,1810.82640562,-678.807378351,14.6087146693,0.696746221022,-9.99264805592,83.5489558808,-0.161704039663,8.8023698379,0.439237736732,-10.2145951947,-10.0861839507,495.570546876,154.866571936,-117.905756646,6572.98915357,265.795835906,732.082720323
