# {
#   "_what": "SPEC.md 5.4 bias series B_t^F for MODEL B (SPEC.md 4.2), one column per variant x horizon x eigenfactor a, built by `python -m mafrm.factors.statistical_report --rebuild`. sigma_kt is the forecast made at t-1 from the full pre-VRA pipeline.",
#   "columns": [
#     "bias_denoised_short_a1.0",
#     "bias_denoised_short_a1.4",
#     "bias_denoised_long_a1.0",
#     "bias_denoised_long_a1.4",
#     "bias_detoned_short_a1.0",
#     "bias_detoned_short_a1.4",
#     "bias_detoned_long_a1.0",
#     "bias_detoned_long_a1.4"
#   ],
#   "generated_utc": "2026-09-02T17:22:20+00:00",
#   "git_commit": "d09e49e65a593c19e660523ad77facb84e950d46",
#   "holdout_start": "2025-01-01",
#   "panel_digest": {
#     "denoised": "1b2b4e8ffb293ece0093377cd67e0f214b9912bb4c148de309f9659f5d0b0946",
#     "detoned": "63b076b12171ea675d333f4ece53e0a69c273f759f2b927dd642a6c87d296670"
#   },
#   "risk_config_digest": "3701b5bf664e023a23f6ca793b83386f14c5517e8bb4c6d75ab58c9ebda09744",
#   "rows": 4164
# }
date,k_over_realised_t_eff_denoised_short,k_over_realised_t_eff_denoised_long,k_over_realised_t_eff_detoned_short,k_over_realised_t_eff_detoned_long,bias_denoised_short_a1.0,bias_denoised_short_a1.4,bias_denoised_long_a1.0,bias_denoised_long_a1.4,bias_detoned_short_a1.0,bias_detoned_short_a1.4,bias_detoned_long_a1.0,bias_detoned_long_a1.4
2024-01-22,0.0123775579906,0.00412603879771,0.0123775579906,0.00412605154333,0.455441064841,0.455394580877,0.442890478648,0.442843386118,0.420844223874,0.420866800462,0.415012178105,0.415025494147
2024-01-23,0.0123775579906,0.00412603834358,0.0123775579906,0.00412605105419,0.703380582765,0.703354017751,0.653614843437,0.653598313322,0.644270110092,0.644472662244,0.614297257015,0.614503361171
2024-01-24,0.0123775579906,0.00412603789071,0.0123775579906,0.0041260505664,0.528255416624,0.528131231886,0.459321361799,0.459208504542,0.240292082834,0.240105883733,0.233227337701,0.233054704938
2024-01-25,0.0123775579906,0.00412603743908,0.0123775579906,0.00412605007995,0.548295308888,0.548121786709,0.539418865477,0.539245455459,0.585719131487,0.58555669615,0.579184385962,0.579020475337
2024-01-26,0.0123775579906,0.00412603698869,0.0123775579906,0.00412604959484,0.32039138503,0.320345576525,0.289466297924,0.289425931752,0.387596975459,0.387175340721,0.359063820688,0.358678610813
2024-01-29,0.0123775579906,0.00412603653954,0.0123775579906,0.00412604911106,0.867921041216,0.867714760716,0.814966885542,0.814765517652,0.705952323332,0.705807876494,0.70214875469,0.701991137211
2024-01-30,0.0123775579906,0.00412603609162,0.0123775579906,0.00412604862861,0.178280098811,0.178289518467,0.170205211189,0.170214046394,0.95170323176,0.950542661991,0.868259499003,0.867202333911
2024-01-31,0.0123775579906,0.00412603564493,0.0123775579906,0.00412604814748,1.38475096085,1.38446794075,1.17354684933,1.17330619568,0.473620285581,0.473254465736,0.440524759493,0.440194058755
2024-02-01,0.0123775579906,0.00412603519947,0.0123775579906,0.00412604766767,1.17496434265,1.17470550148,1.1169848156,1.11673070307,0.985312318582,0.985125437597,0.977644243209,0.977432592929
2024-02-02,0.0123775579906,0.00412603475523,0.0123775579906,0.00412604718919,1.83335291753,1.8328982622,1.70154115086,1.7011004039,1.67063068016,1.67076583348,1.61105290143,1.61113898459
2024-02-05,0.0123775579906,0.00412603431221,0.0123775579906,0.00412604671201,1.44989829201,1.4495620289,1.33603851656,1.33571682564,0.945566379233,0.945187157735,0.945929224239,0.945543219056
2024-02-06,0.0123775579906,0.00412603387041,0.0123775579906,0.00412604623615,0.750691499605,0.750459052508,0.728049918779,0.727819115523,0.727841842372,0.727612523337,0.726570016274,0.726333162795
2024-02-07,0.0123775579906,0.00412603342982,0.0123775579906,0.00412604576159,0.355021052276,0.354959955999,0.310533592531,0.310481829381,0.107757917803,0.107790722759,0.104648325337,0.104674618235
