model,label,halflife,parameters,parameters_min,parameters_max,kish_volatility,kish_correlation,k_over_t,k_over_t_min,k_over_t_max,k_over_t_asymptotic,bias_monthly,months,interval_lower,interval_upper,bias_daily,days,comparand_window,comparand_t,predicted_bias_sd,predicted_variance_multiplier,upper_bound_bias_sd,tracks,expected,verdict,extra_family2_monthly,extra_family2_daily,extra_min_var_realised_volatility,extra_b_factor,extra_b_factor_lower,extra_b_factor_upper,extra_b_specific,extra_b_specific_lower,extra_b_specific_upper,extra_liquidated_cells,extra_risk_model_term,extra_cost_term,extra_sharpe_net,extra_turnover_annual,extra_shipped,extra_monte_carlo_standard_error,extra_seed,extra_joint_excess_variance,extra_correlation_leg_variance,extra_volatility_leg_variance
macro,"macro K=6, tau=252",252,6,6,6,635.2194979,1083.857391,0.009445553891,0.008252121164,0.400056489,0.00825175215,1.643514952,188,1.492485222,1.828819536,1.331993477,3874,correlation,1083.857391,1.005566599,1.011164185,1.009535623,False,not_track,HOLDS,0.9290796004,1.001565451,5.144447553,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=252",252,13,13,13,635.2194979,1083.857391,0.02046536676,0.01787959585,0.8667890595,0.01787879632,1.259981444,188,1.144196275,1.402043029,1.042491779,3874,volatility,635.2194979,1.020892949,1.042222413,1.020892949,False,,reported,0.8852913179,,4.687977481,,,,,,,,,,,,,,,,,
macro,"macro K=6, tau=336",336,6,6,6,805.0006507,1083.857391,0.007453410124,0.006192880404,0.4000317755,0.006188814112,1.644459247,188,1.493342742,1.8298703,1.331919787,3874,correlation,1083.857391,1.005566599,1.011164185,1.007509381,False,not_track,HOLDS,0.9231725204,1.000619574,5.127024137,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=336",336,13,13,13,805.0006507,1083.857391,0.01614905527,0.01341790754,0.8667355135,0.01340909724,1.273849054,188,1.15678953,1.417474197,1.048992638,3874,volatility,805.0006507,1.016414128,1.033097679,1.016414128,False,,reported,0.8782511943,,4.722792865,,,,,,,,,,,,,,,,,
macro,"macro K=6, tau=504",504,6,6,6,1083.857391,1083.857391,0.005535783625,0.004165356381,0.4000141226,0.004125876075,1.646238721,188,1.494958692,1.831850408,1.332149395,3874,correlation,1083.857391,1.005566599,1.011164185,1.005566599,False,not_track,HOLDS,0.9194269446,1.000730948,5.108778058,,,,,,,,,,,,,,,,,
macro_naive,"naive N=13, tau=504",504,13,13,13,1083.857391,1083.857391,0.01199419786,0.009024938825,0.8666972655,0.008939398162,1.298579913,188,1.179247762,1.444993434,1.061384556,3874,volatility,1083.857391,1.012139805,1.024426985,1.012139805,False,,reported,0.866712993,,4.778871688,,,,,,,,,,,,,,,,,
equity,"equity K_d=51-54, tau=63",63,52.68421053,51,54,181.7235701,1227.17509,0.2899140189,0.2805570105,0.2970600808,0.2898246983,1.21434337,190,1.103288715,1.350452507,1.107230659,3985,correlation,1227.17509,1.045138072,1.09231359,1.411735007,False,track,REFUTED,0.9613412601,0.9964046486,72.49271721,1.19507216,0.8992122001,1.100657837,0.9957500298,0.8992122001,1.100657837,42,,,,,,,,,,
equity_naive,"naive N=447, tau=63",63,447,447,447,181.7235701,1227.17509,2.459779982,2.458997335,2.48968304,2.459022141,3.508849311,190,3.187956504,3.902137126,3.569409387,3985,volatility,181.7235701,inf,inf,inf,False,,reported,0.9702474196,,131.9111908,,,,,,,,,,,,,,,,,
equity,"equity K_d=51-54, tau=84",84,52.68421053,51,54,242.021759,1227.17509,0.2176837766,0.2104261224,0.2227960438,0.2173685237,1.1837596,190,1.075501904,1.316440769,1.087438431,3985,correlation,1227.17509,1.045138072,1.09231359,1.280391,False,track,REFUTED,0.958588104,0.993703676,72.84554893,1.182549664,0.8992122001,1.100657837,0.967698689,0.8992122001,1.100657837,42,,,,,,,,,,
equity_naive,"naive N=447, tau=84",84,447,447,447,242.021759,1227.17509,1.846941373,1.844256141,1.927603245,1.844266605,3.240105827,190,2.943790265,3.603271648,3.215293916,3985,volatility,242.021759,inf,inf,inf,False,,reported,0.9600213168,,118.851681,,,,,,,,,,,,,,,,,
equity,"equity K_d=51-54, tau=126",126,52.68421053,51,54,360.8971082,1227.17509,0.1459812487,0.1404733021,0.1642604455,0.1449123492,1.140137173,190,1.035868854,1.267928941,1.062823592,3985,correlation,1227.17509,1.045138072,1.09231359,1.172135426,True,track,HOLDS,0.9540874131,0.9886593449,73.29355562,1.163686826,0.8992122001,1.100657837,0.9412226024,0.8992122001,1.100657837,42,,,,,,,,,,
equity_naive,"naive N=447, tau=126",126,447,447,447,360.8971082,1227.17509,1.238580165,1.22950797,1.439694493,1.22951107,2.743301559,190,2.492419957,3.050783295,2.64718441,3985,volatility,360.8971082,inf,inf,inf,False,,reported,0.9478987916,,106.3446496,,,,,,,,,,,,,,,,,
equity,"equity K_d=51-54, tau=168",168,52.68421053,51,54,476.2289041,1227.17509,0.1106279146,0.1061098688,0.1419502332,0.1086842619,1.111841551,190,1.010160936,1.236461817,1.046326929,3985,correlation,1227.17509,1.045138072,1.09231359,1.125227742,True,track,HOLDS,0.9495126558,0.9838767087,73.55235089,1.150179111,0.8992122001,1.100657837,0.9284472234,0.8992122001,1.100657837,42,,,,,,,,,,
