regime,aum,cost_drag_annual,spread_drag_annual,impact_drag_annual,turnover_annual,gross_annual,net_annual,adv_binding_share,relaxed,effective_assets_mean,largest_weight_median,inaccurate,resolve_max_l1
urgent,945947.971,0.002748481474,0.001560338109,0.001188143364,5.775782663,0.06282240784,0.06007392637,0,0,2.683964636,0.4781789254,0,0
urgent,1039162.764,0.002780652492,0.00155185294,0.001228799553,5.739709965,0.06284442803,0.06006377554,0,0,2.687655052,0.4755020768,0,0
urgent,1141563.05,0.002813515845,0.001542929741,0.001270586104,5.70351966,0.06288897901,0.06007546317,0,0,2.691386828,0.4727457754,0,0
urgent,1254053.976,0.002847435707,0.00153369183,0.001313743877,5.666601131,0.06295188077,0.06010444506,0,0,2.695230458,0.4702627928,0,0
urgent,1377629.887,0.002879733126,0.001523071904,0.001356661222,5.624195621,0.06303401603,0.0601542829,0,0,2.699346299,0.4697151827,0,0
urgent,1513383.11,0.002912028872,0.001511540947,0.001400487924,5.579751151,0.06313167774,0.06021964887,0,0,2.703414123,0.4694389214,0,0
urgent,1662513.61,0.00294584132,0.001499862616,0.001445978704,5.535490435,0.06323114671,0.06028530539,0,0,2.707386865,0.4702119517,0,0
urgent,1826339.599,0.00298021002,0.001488082479,0.001492127541,5.489949638,0.06331305398,0.06033284396,0,0,2.711664702,0.4707738302,0,0
urgent,2006309.189,0.003015038732,0.001475776011,0.00153926272,5.443807117,0.06338704609,0.06037200736,0,0,2.716279307,0.4705223993,0,0
urgent,2204013.188,0.003050747194,0.001463147428,0.001587599765,5.397419333,0.06344340762,0.06039266042,0,0,2.721046924,0.4686088114,0,0
urgent,2421199.164,0.003087383058,0.001450455884,0.001636927174,5.349129354,0.06349647232,0.06040908926,0,0,2.726623558,0.4675113088,0,0
urgent,2659786.895,0.003126707991,0.001439563643,0.001687144348,5.299865999,0.06353098443,0.06040427644,0,0,2.732017876,0.465171759,0,0
urgent,2921885.333,0.003165282819,0.00142816424,0.001737118579,5.247675025,0.06358853881,0.06042325599,0,0,2.737646514,0.4643142932,0,0
urgent,3209811.25,0.003198596246,0.001413653302,0.001784942944,5.193355717,0.06371428272,0.06051568647,0,0,2.743859692,0.4655182108,0,0
urgent,3526109.717,0.003226279107,0.001398296128,0.001827982979,5.13295406,0.06386968765,0.06064340854,0,0,2.750841103,0.4645102983,0,0
urgent,3873576.595,0.003256988239,0.001384296274,0.001872691965,5.075635899,0.06397191268,0.06071492444,0,0,2.757372389,0.4678261987,0,0
urgent,4255283.256,0.003293326979,0.001372975652,0.001920351327,5.024238435,0.06395379387,0.06066046689,0,0,2.762958062,0.4650920585,0,0
urgent,4674603.728,0.003331516066,0.001361930354,0.001969585712,4.974036798,0.0639180581,0.06058654204,0,0,2.768176394,0.4658119732,0,0
urgent,5135244.517,0.003368876905,0.001349759011,0.002019117894,4.924935351,0.06383570729,0.06046683039,0,0,2.773810148,0.4638773504,0,0
urgent,5641277.376,0.003407300689,0.00133815274,0.002069147949,4.874968955,0.06372889366,0.06032159297,0,0,2.780488216,0.4651050166,0,0
urgent,6197175.291,0.003443869645,0.001326515587,0.002117354059,4.82200052,0.06362654011,0.06018267046,0,0,2.788969894,0.4589577259,0,0
urgent,6807852.022,0.003481075747,0.001314461265,0.002166614482,4.769503754,0.06358977473,0.06010869899,0.005347593583,0,2.797496601,0.459189509,0,0
urgent,7478705.534,0.003516855706,0.001302336557,0.002214519149,4.71783558,0.0635912072,0.06007435149,0.005347593583,0,2.807309732,0.4622306767,0,0
urgent,8215665.718,0.003543779551,0.001288511308,0.002255268243,4.66580116,0.06352817699,0.05998439744,0.005347593583,0,2.817896136,0.4602595101,0,0
urgent,9025246.8,0.003567372531,0.001275721546,0.002291650985,4.615959275,0.06348576254,0.05991839001,0.01069518717,0,2.827402084,0.4583456043,0,0
urgent,9914604.927,0.003589576868,0.001263379764,0.002326197104,4.567415021,0.06340462418,0.05981504731,0.01069518717,0,2.836332339,0.4568245612,0,0
urgent,10891601.42,0.003616319758,0.001251246918,0.00236507284,4.52049242,0.06329434681,0.05967802706,0.01604278075,0,2.842297238,0.4625313792,0,0
urgent,11964872.26,0.003647571394,0.001240629584,0.00240694181,4.471905816,0.06325040945,0.05960283805,0.0320855615,0,2.848920098,0.4679301797,0,0
urgent,13143904.44,0.003665257434,0.001227777757,0.002437479677,4.416521305,0.06337692325,0.05971166582,0.0320855615,0,2.860844798,0.4568043318,0,0
urgent,14439119.79,0.003669242928,0.001217370403,0.002451872524,4.338927173,0.06373243307,0.06006319014,0.0320855615,0,2.874813887,0.4532671157,0,0
urgent,15861967.14,0.003666865805,0.001207084967,0.002459780838,4.259811392,0.06401606546,0.06034919965,0.04812834225,0,2.883386014,0.4532527947,0,0
urgent,17425023.5,0.003656452185,0.001193621747,0.002462830437,4.181363897,0.06426490467,0.06060845249,0.06417112299,0,2.885791832,0.4536326924,0,0
urgent,19142105.21,0.003648417455,0.001177911997,0.002470505458,4.104136863,0.06456421687,0.06091579941,0.06417112299,0,2.88936019,0.4592699516,1,0.0003962214506
urgent,21028390.12,0.003641359716,0.001162927169,0.002478432547,4.027270449,0.06492609046,0.06128473074,0.1016042781,0,2.890046961,0.4652476729,0,0
urgent,23100551.7,0.003644446381,0.001148701685,0.002495744695,3.948235209,0.0653375709,0.06169312451,0.1122994652,0,2.889152844,0.4749930301,0,0
urgent,25376906.44,0.003642071307,0.001132582611,0.002509488696,3.864561108,0.06551312214,0.06187105083,0.1443850267,0,2.902001962,0.4645025741,0,0
urgent,27877575.79,0.003662929878,0.001122034454,0.002540895424,3.799980711,0.06563703649,0.06197410662,0.1711229947,0,2.923434055,0.4640348362,0,0
urgent,30624663.94,0.003768622795,0.001156987088,0.002611635707,3.760403634,0.0653413616,0.06157273881,0.1604278075,0,2.96243779,0.4672375035,3,0.001776717373
urgent,33642453.3,0.003629620385,0.001034398263,0.002595222122,3.697281137,0.0638083615,0.06017874111,0.2,2,3.042963012,0.43848726,0,0
urgent,36957619.06,0.003634885726,0.001017508886,0.00261737684,3.621120749,0.06381251478,0.06017762905,0.1891891892,2,3.078694861,0.4286877696,2,0.00136469109
urgent,40599465.05,0.003652479522,0.001005661164,0.002646818358,3.553498714,0.0638068432,0.06015436368,0.2540540541,2,3.111406545,0.4343546854,1,0
